Make,Model,Model_Submodel,Submodel,Year,Vehicle Type
Kawasaki,GA1,GA1 90,90,1969,Motorcycle
California Customs,Retro Rockitt,Retro Rockitt 200,200,2006,Motorcycle
Thunder Mountain Cycles,Breckenridge,Breckenridge,--,2002,Motorcycle
Royal Enfield,Bullet,Bullet 250,250,1935,Motorcycle
KTM,125,125 EGS,EGS,1992,Motorcycle
SWM,RS,RS 250 GS TF1,250 GS TF1,1981,Motorcycle
Yamaha,TZ250,TZ250,--,2000,Motorcycle
Yamaha,Champ 50,Champ 50 LC50,LC50,1980,Motorcycle
KTM,525,525 EXC Racing,EXC Racing,2004,Motorcycle
Yamaha,Royal Star,Royal Star XVZ1300A Cheyenne,XVZ1300A Cheyenne,1998,Motorcycle
Christini AWD Motorcycles,AWD,AWD 300E,300E,2017,Motorcycle
Ultra Cycle,Ground Pounder,Ground Pounder Rigid 330,Rigid 330,2017,Motorcycle
KTM,300,300 EXC,EXC,1993,Motorcycle
Norton,Atlas,Atlas Scrambler,Scrambler,1964,Motorcycle
Ossa,Stiletto,Stiletto 175,175,1970,Motorcycle
American Classic Motors,Trike,Trike,--,2012,Motorcycle
Kawasaki,MB1,MB1 Coyote,Coyote,1970,Motorcycle
Ducati,Multistrada 1200 S,Multistrada 1200 S Pikes Peak,Pikes Peak,2014,Motorcycle
California Customs,Nomad,Nomad II,II,2011,Motorcycle
Harley-Davidson,Dyna,Dyna Low Rider FXDL,Low Rider FXDL,2002,Motorcycle
American Motorcycle Corp.,S Series,S Series,--,2009,Motorcycle
Victory,Ness Magnum,Ness Magnum,--,2015,Motorcycle
Yamaha,V Star 650,V Star 650 XVS650 Midnight Custom,XVS650 Midnight Custom,2007,Motorcycle
Sherco,SE 5.1i-F,SE 5.1i-F Enduro 510,Enduro 510,2010,Motorcycle
Moto Guzzi,GTV 500 Alloy,GTV 500 Alloy Single 499,Single 499,1948,Motorcycle
Can-Am,Spyder RT-S,Spyder RT-S SM6,SM6,2016,Motorcycle
Husqvarna,701 Supermoto,701 Supermoto,--,2017,Motorcycle
KTM,690,690 Duke,Duke,2018,Motorcycle
Redneck,FCA,FCA Hidden Shock,Hidden Shock,2010,Motorcycle
Honda,Shadow VLX 600,Shadow VLX 600 VT600C,VT600C,2002,Motorcycle
Zero,FX,FX ZF3.6 Modular,ZF3.6 Modular,2018,Motorcycle
SDG,Speed Mini,Speed Mini 107,107,2005,Motorcycle
Ural,Gear Up,Gear Up With Sidecar,With Sidecar,2014,Motorcycle
Kawasaki,KDX220R,KDX220R,--,2004,Motorcycle
Suzuki,Boulevard,Boulevard C50B,C50B,2006,Motorcycle
Velocette,Le Twin,Le Twin 192,192,1962,Motorcycle
Norton,Manx Senior,Manx Senior 30M,30M,1963,Motorcycle
APC Motorcycle Company,Gambler,Gambler 240,240,2003,Motorcycle
Yamaha,YZ125,YZ125,--,2012,Motorcycle
Suzuki,GSXR750X,GSXR750X 20th Anniversary,20th Anniversary,2005,Motorcycle
Borella,C175,C175 Roadster,Roadster,1982,Motorcycle
BMW,K1300S,K1300S ABS,ABS,2013,Motorcycle
Motor-Piper,Piper,Piper 80M,80M,1946,Motorcycle
GAS GAS,SM250,SM250,--,2004,Motorcycle
Motor Trike,Scooter,Scooter 750,750,2011,Motorcycle
Apollo Choppers,Chaos,Chaos HT,HT,2018,Motorcycle
Suzuki,T500,T500 Ian,Ian,1972,Motorcycle
Honda,CB100,CB100 Super Sport,Super Sport,1971,Motorcycle
AJS,Model 20,Model 20 Twin,Twin,1955,Motorcycle
Honda,VFR1200X,VFR1200X,--,2017,Motorcycle
Suzuki,GS450TX,GS450TX,--,1981,Motorcycle
Suzuki,DRZ125,DRZ125,--,2003,Motorcycle
Champion Sidecars,Harley Davidson,Harley Davidson Softail,Softail,2009,Motorcycle
